№   Дата/время           Температура  Осадки (мм)
1   2025-05-26T00:00     12.2         0.0
2   2025-05-26T01:00     11.7         0.0
3   2025-05-26T02:00     11.3         0.0
4   2025-05-26T03:00     11.0         0.0
5   2025-05-26T04:00     10.9         0.0
6   2025-05-26T05:00     11.6         0.0
7   2025-05-26T06:00     13.2         0.0
8   2025-05-26T07:00     14.9         0.0
9   2025-05-26T08:00     16.8         0.0
10  2025-05-26T09:00     19.0         0.0
11  2025-05-26T10:00     20.9         0.0
12  2025-05-26T11:00     22.7         0.0
13  2025-05-26T12:00     23.9         0.0
14  2025-05-26T13:00     24.6         0.0
15  2025-05-26T14:00     24.9         0.0
16  2025-05-26T15:00     25.0         0.0
17  2025-05-26T16:00     24.7         0.0
18  2025-05-26T17:00     24.2         0.0
19  2025-05-26T18:00     23.4         0.0
20  2025-05-26T19:00     21.8         0.0
21  2025-05-26T20:00     19.5         0.0
22  2025-05-26T21:00     17.5         0.0
23  2025-05-26T22:00     16.3         0.0
24  2025-05-26T23:00     15.3         0.0
